state,year,pdf_link,doc_name,doc_number,scraped_at
MN,2025.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38988894,Apparent Bid Results 10-22-2025,38988894,2025-11-22T17:45:59.361442
MN,2025.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=39009352,Apparent Bid Results 11-19-2025,39009352,2025-11-22T17:45:59.361442
SD,2025.0,https://apps.sd.gov/HC65C2C/EBS/lettings/09172025final.pdf,"September 17, 2025",,2025-11-22T18:11:44.275703
SD,2025.0,https://apps.sd.gov/HC65C2C/EBS/lettings/09032025final.pdf,"September 3, 2025",,2025-11-22T18:11:44.275703
SD,2025.0,https://apps.sd.gov/HC65C2C/EBS/lettings/08272025final.pdf,"August 27, 2025",,2025-11-22T18:11:44.275703
SD,2025.0,https://apps.sd.gov/HC65C2C/EBS/lettings/08262025final.pdf,"August 26, 2025",,2025-11-22T18:11:44.275703
SD,2025.0,https://apps.sd.gov/HC65C2C/EBS/lettings/08062025final.pdf,"August 6, 2025",,2025-11-22T18:11:44.275703
SD,2025.0,https://apps.sd.gov/HC65C2C/EBS/lettings/07162025final.pdf,"July 16, 2025",,2025-11-22T18:11:44.275703
SD,2025.0,https://apps.sd.gov/HC65C2C/EBS/lettings/07022025final.pdf,"July 2, 2025",,2025-11-22T18:11:44.275703
SD,2025.0,https://apps.sd.gov/HC65C2C/EBS/lettings/06042025final.pdf,"June 4, 2025",,2025-11-22T18:11:44.275703
SD,2025.0,https://apps.sd.gov/HC65C2C/EBS/lettings/05212025final.pdf,"May 21, 2025",,2025-11-22T18:11:44.275703
SD,2025.0,https://apps.sd.gov/HC65C2C/EBS/lettings/05072025final.pdf,"May 7, 2025",,2025-11-22T18:11:44.275703
SD,2025.0,https://apps.sd.gov/HC65C2C/EBS/lettings/04162025final.pdf,"April 16, 2025",,2025-11-22T18:11:44.275703
SD,2025.0,https://apps.sd.gov/HC65C2C/EBS/lettings/04022025final.pdf,"April 2, 2025",,2025-11-22T18:11:44.275703
SD,2025.0,https://apps.sd.gov/HC65C2C/EBS/lettings/03262025final.pdf,"March 26, 2025",,2025-11-22T18:11:44.275703
SD,2025.0,https://apps.sd.gov/HC65C2C/EBS/lettings/03192025final.pdf,"March 19, 2025",,2025-11-22T18:11:44.275703
SD,2025.0,https://apps.sd.gov/HC65C2C/EBS/lettings/03122025final.pdf,"March 12, 2025",,2025-11-22T18:11:44.275703
SD,2025.0,https://apps.sd.gov/HC65C2C/EBS/lettings/03052025final.pdf,"March 5, 2025",,2025-11-22T18:11:44.275703
SD,2025.0,https://apps.sd.gov/HC65C2C/EBS/lettings/02192025final.pdf,"February 19, 2025",,2025-11-22T18:11:44.275703
SD,2025.0,https://apps.sd.gov/HC65C2C/EBS/lettings/02122025final.pdf,"February 12, 2025",,2025-11-22T18:11:44.275703
SD,2025.0,https://apps.sd.gov/HC65C2C/EBS/lettings/02052025final.pdf,"February 5, 2025",,2025-11-22T18:11:44.275703
SD,2025.0,https://apps.sd.gov/HC65C2C/EBS/lettings/01222025final.pdf,"January 22, 2025",,2025-11-22T18:11:44.275703
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/12112024final.pdf,"December 11, 2024",,2025-11-22T18:11:44.275703
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/12042024final.pdf,"December 4, 2024",,2025-11-22T18:11:44.275703
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/11202024final.pdf,"November 20, 2024",,2025-11-22T18:11:44.275703
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/11062024final.pdf,"November 6, 2024",,2025-11-22T18:11:44.275703
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/10162024final.pdf,"October 16, 2024",,2025-11-22T18:11:44.275703
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/10022024final.pdf,"October 2, 2024",,2025-11-22T18:11:44.275703
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/09182024final.pdf,"September 18, 2024",,2025-11-22T18:11:44.275703
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/09042024final.pdf,"September 4, 2024",,2025-11-22T18:11:44.275703
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/08212024final.pdf,"August 21, 2024",,2025-11-22T18:11:44.275703
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/08072024final.pdf,"August 7, 2024",,2025-11-22T18:11:44.275703
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/07172024final.pdf,"July 17, 2024",,2025-11-22T18:11:44.275703
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/06262024final.pdf,"June 26, 2024",,2025-11-22T18:11:44.275703
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/06052024final.pdf,"June 5, 2024",,2025-11-22T18:11:44.275703
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/05152024final.pdf,"May 15, 2024",,2025-11-22T18:11:44.275703
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/05012024final.pdf,"May 1, 2024",,2025-11-22T18:11:44.275703
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/04172024final.pdf,"April 17, 2024",,2025-11-22T18:11:44.275703
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/04042024final.pdf,"April 4, 2024",,2025-11-22T18:11:44.275703
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/03202024final.pdf,"March 20, 2024",,2025-11-22T18:11:44.275703
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/03062024final.pdf,"March 6, 2024",,2025-11-22T18:11:44.275703
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/02272024final.pdf,"Februrary 27, 2024",,2025-11-22T18:11:44.275703
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/02212024final.pdf,"February 21, 2024",,2025-11-22T18:11:44.275703
