state,year,document_title,pdf_link
SD,2020.0,"December 9, 2020",https://apps.sd.gov/HC65C2C/EBS/lettings/12092020final.pdf
SD,2020.0,"December 2, 2020",https://apps.sd.gov/HC65C2C/EBS/lettings/12022020final.pdf
SD,2020.0,"November 18, 2020",https://apps.sd.gov/HC65C2C/EBS/lettings/11182020final.pdf
SD,2020.0,"November 4, 2020",https://apps.sd.gov/HC65C2C/EBS/lettings/11042020final.pdf
SD,2020.0,"October 21, 2020",https://apps.sd.gov/HC65C2C/EBS/lettings/10212020final.pdf
SD,2020.0,"October 7, 2020",https://apps.sd.gov/HC65C2C/EBS/lettings/10072020final.pdf
SD,2020.0,"September 16, 2020",https://apps.sd.gov/HC65C2C/EBS/lettings/09162020final.pdf
SD,2020.0,"September 2, 2020",https://apps.sd.gov/HC65C2C/EBS/lettings/09022020final.pdf
SD,2020.0,"August 19, 2020",https://apps.sd.gov/HC65C2C/EBS/lettings/08192020final.pdf
SD,2020.0,"August 5, 2020",https://apps.sd.gov/HC65C2C/EBS/lettings/08052020final.pdf
SD,2020.0,"July 15, 2020",https://apps.sd.gov/HC65C2C/EBS/lettings/07152020final.pdf
SD,2020.0,"June 17, 2020",https://apps.sd.gov/HC65C2C/EBS/lettings/06172020final.pdf
SD,2020.0,"June 3, 2020",https://apps.sd.gov/HC65C2C/EBS/lettings/06032020final.pdf
SD,2020.0,"May 20, 2020",https://apps.sd.gov/HC65C2C/EBS/lettings/05202020final.pdf
SD,2020.0,"May 13, 2020",https://apps.sd.gov/HC65C2C/EBS/lettings/05132020final.pdf
SD,2020.0,"May 6, 2020",https://apps.sd.gov/HC65C2C/EBS/lettings/05062020final.pdf
SD,2020.0,"April 15, 2020",https://apps.sd.gov/HC65C2C/EBS/lettings/04152020final.pdf
SD,2020.0,"April 1, 2020",https://apps.sd.gov/HC65C2C/EBS/lettings/04012020final.pdf
SD,2020.0,"March 25, 2020",https://apps.sd.gov/HC65C2C/EBS/lettings/03252020final.pdf
SD,2020.0,"March 4, 2020",https://apps.sd.gov/HC65C2C/EBS/lettings/03042020final.pdf
SD,2020.0,"February 19, 2020",https://apps.sd.gov/HC65C2C/EBS/lettings/02192020final.pdf
SD,2020.0,"February 5, 2020",https://apps.sd.gov/HC65C2C/EBS/lettings/02052020final.pdf
SD,2020.0,"January 22, 2020",https://apps.sd.gov/HC65C2C/EBS/lettings/01222020final.pdf
SD,2019.0,"December 11, 2019",https://apps.sd.gov/HC65C2C/EBS/lettings/12112019final.pdf
SD,2019.0,"December 4, 2019",https://apps.sd.gov/HC65C2C/EBS/lettings/12042019final.pdf
SD,2019.0,"November 20, 2019",https://apps.sd.gov/HC65C2C/EBS/lettings/11202019final.pdf
SD,2019.0,"November 6, 2019",https://apps.sd.gov/HC65C2C/EBS/lettings/11062019final.pdf
SD,2019.0,"October 16, 2019",https://apps.sd.gov/HC65C2C/EBS/lettings/10162019final.pdf
SD,2019.0,"October 2, 2019",https://apps.sd.gov/HC65C2C/EBS/lettings/10022019final.pdf
SD,2019.0,"September 18, 2019",https://apps.sd.gov/HC65C2C/EBS/lettings/09182019final.pdf
SD,2019.0,"September 4, 2019",https://apps.sd.gov/HC65C2C/EBS/lettings/09042019final.pdf
SD,2019.0,"August 21, 2019",https://apps.sd.gov/HC65C2C/EBS/lettings/08212019final.pdf
SD,2019.0,"July 17, 2019",https://apps.sd.gov/HC65C2C/EBS/lettings/07172019final.pdf
SD,2019.0,"June 19, 2019",https://apps.sd.gov/HC65C2C/EBS/lettings/06192019final.pdf
SD,2019.0,"June 5, 2019",https://apps.sd.gov/HC65C2C/EBS/lettings/06052019final.pdf
SD,2019.0,"May 15, 2019",https://apps.sd.gov/HC65C2C/EBS/lettings/05152019final.pdf
