state,year,pdf_link,doc_name,doc_number,scraped_at,download_status,download_path,download_error,downloaded_at
MN,2025.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38767796,Apparent Bid Results 02-26-2025,38767796.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_38767796.0.pdf,,2025-11-22T18:16:25.637455
MN,2025.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38789739,Apparent Bid Results 03-26-2025,38789739.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_38789739.0.pdf,,2025-11-22T18:16:27.914770
MN,2025.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38793987,Apparent Bid Results 04-02-2025,38793987.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_38793987.0.pdf,,2025-11-22T18:16:30.068301
MN,2025.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38803828,Apparent Bid Results 04-16-2025,38803828.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_38803828.0.pdf,,2025-11-22T18:16:32.275033
MN,2025.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38807180,Apparent Bid Results 04-23-2025,38807180.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_38807180.0.pdf,,2025-11-22T18:16:34.525151
MN,2025.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38813960,Apparent Bid Results 05-07-2025,38813960.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_38813960.0.pdf,,2025-11-22T18:16:36.733692
MN,2025.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38821969,Apparent Bid Results 05-21-2025,38821969.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_38821969.0.pdf,,2025-11-22T18:16:38.845751
MN,2025.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38897767,Apparent Bid Results 06-11-2025,38897767.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_38897767.0.pdf,,2025-11-22T18:16:41.173354
MN,2025.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38906330,Apparent Bid Results 06-25-2025,38906330.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_38906330.0.pdf,,2025-11-22T18:16:43.345927
MN,2025.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38927916,Apparent Bid Results 07-23-2025,38927916.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_38927916.0.pdf,,2025-11-22T18:16:45.401011
MN,2025.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38945095,Apparent Bid Results 08-20-2025,38945095.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_38945095.0.pdf,,2025-11-22T18:16:47.603308
MN,2025.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38967666,Apparent Bid Results 09-24-2025,38967666.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_38967666.0.pdf,,2025-11-22T18:16:49.828055
MN,2025.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38977578,Apparent Bid Results 10-08-2025,38977578.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_38977578.0.pdf,,2025-11-22T18:16:51.980264
MN,2025.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38988894,Apparent Bid Results 10-22-2025,38988894.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_38988894.0.pdf,,2025-11-22T18:16:54.117350
